num,name,price,type,sold,star,from,img_src,url
74,ถุงห่อส้มโอ 1 กิโลกรัม บรรจุ 150 ใบ กันแมลงทุกชนิด,฿99,general,33.0,5.0,จังหวัดหนองบัวลำภู,https://cf.shopee.co.th/file/98b7497a120bf0cd661cd5915c785499_tn,https://shopee.co.th//ถุงห่อส้มโอ-1-กิโลกรัม-บรรจุ-150-ใบ-กันแมลงทุกชนิด-i.165217033.6068007282
75,ต้นกล้าส้มโอ แบบเพาะเมล็ด,฿20,general,10.0,5.0,จังหวัดสกลนคร,https://cf.shopee.co.th/file/0cd45931092f02631685c6fb03458ad3_tn,https://shopee.co.th//ต้นกล้าส้มโอ-แบบเพาะเมล็ด-i.39311382.3535194304
76,🔥1 kg🔥( ชาส้มโอเกาหลี Grapefruit Tea ) หรือชาส้มโอเกาหลีเนื้อแดง,฿450,general,4.0,5.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/dab5dada516f264f32f1408cda78502e_tn,https://shopee.co.th//🔥1-kg🔥(-ชาส้มโอเกาหลี-Grapefruit-Tea-)-หรือชาส้มโอเกาหลีเนื้อแดง-i.278144504.7678166392
77,ตะกร้อสอยมะม่วง ส้มโอ  กระท้อน ตราปลาทอง,฿190 - ฿250,ร้านแนะนำ,24.0,4.9333,จังหวัดนครสวรรค์,https://cf.shopee.co.th/file/c9e5dc38e33f53a37e74127c0181fc39_tn,https://shopee.co.th//ตะกร้อสอยมะม่วง-ส้มโอ-กระท้อน-ตราปลาทอง-i.155968560.4343382562
78,"เครื่องคั้นน้ำผลไม้ไฟฟ้า, เครื่องคั้นน้ำผลไม้ส้มโอมะนาวในครัวเรือน, เครื่องคั้นมะนาวส้มอัตโนมัติแบบกดด้วยมือ",฿220,general,11.0,5.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/43828fa8b05c217ccafe51a3a021f50b_tn,https://shopee.co.th//เครื่องคั้นน้ำผลไม้ไฟฟ้า-เครื่องคั้นน้ำผลไม้ส้มโอมะนาวในครัวเรือน-เครื่องคั้นมะนาวส้มอัตโนมัติแบบกดด้วยมือ-i.252102906.6658448544
79,ส้มโอแดงเวียดนาม (เสียบยอด) พันธุ์นำเข้า ต้นสูง 40-50 เซนติเมตร,฿139,general,no sold,0.0,จังหวัดนครพนม,https://cf.shopee.co.th/file/1bee49dce4a9d314e41dfec2b6286711_tn,https://shopee.co.th//ส้มโอแดงเวียดนาม-(เสียบยอด)-พันธุ์นำเข้า-ต้นสูง-40-50-เซนติเมตร-i.60012.8755188066
80,[ใส่โค้ด 55FMCG12 ลดเพิ่ม 12% วันที่ 5.5] ข้าวหอมมะลิแท้ 100% ตรา ส้มโอ ขนาดบรรจุ 5กก,฿235,ร้านแนะนำ,20.0,4.8,จังหวัดสมุทรปราการ,https://cf.shopee.co.th/file/9f7fb7fb388ead4efaeaa4c1ff7520a4_tn,https://shopee.co.th//-ใส่โค้ด-55FMCG12-ลดเพิ่ม-12-วันที่-5.5-ข้าวหอมมะลิแท้-100-ตรา-ส้มโอ-ขนาดบรรจุ-5กก-i.235649965.6531467724
81,BIOAQUA มาส์กบำรุงริมฝีปาก สูตรผลไม้ บลูเบอร์รี่ มะนาว ส้มโอ ช่วยเติมความชุ่มชื้น ปากเรียบเนียน ปากอมชมพู ปากสวย มาร์ค,฿4,ร้านแนะนำ,1600.0,4.7963,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/b960acfac7aa0dcb31dfdc04c44c6897_tn,https://shopee.co.th//BIOAQUA-มาส์กบำรุงริมฝีปาก-สูตรผลไม้-บลูเบอร์รี่-มะนาว-ส้มโอ-ช่วยเติมความชุ่มชื้น-ปากเรียบเนียน-ปากอมชมพู-ปากสวย-มาร์ค-i.99789597.8617190732
82,กิ่งพันธุ์ส้มโอทับทิมสยาม กิ่งตอน 🌱🌱ของแท้จากปากพนัง ชาวสวนขายเอง,฿139,general,553.0,4.6667,จังหวัดนครศรีธรรมราช,https://cf.shopee.co.th/file/7673c191e50c92e554dd9e3be1bb7e93_tn,https://shopee.co.th//กิ่งพันธุ์ส้มโอทับทิมสยาม-กิ่งตอน-🌱🌱ของแท้จากปากพนัง-ชาวสวนขายเอง-i.222604774.6748352168
83,เปลือกส้มโอเชื่อมแห้ง 500 กรัม💝《เจ》,฿88,ร้านแนะนำ,27.0,4.5789,จังหวัดเพชรบุรี,https://cf.shopee.co.th/file/c709d76c9da446e7a32a9fa2c7da354d_tn,https://shopee.co.th//เปลือกส้มโอเชื่อมแห้ง-500-กรัม💝《เจ》-i.85590305.7635305007
84,ส้มโอแดงเวียดนาม เสียบยอด สูง40-50ซม.ปลูกได้ทั่วไทย สามารถปลูกใส่กระถางได้,฿150,general,5.0,5.0,จังหวัดสุโขทัย,https://cf.shopee.co.th/file/1cf6a70706ba9aefea8be6ee66ded74c_tn,https://shopee.co.th//ส้มโอแดงเวียดนาม-เสียบยอด-สูง40-50ซม.ปลูกได้ทั่วไทย-สามารถปลูกใส่กระถางได้-i.31314136.3680319399
85,ต้นพันธุ์ส้มโอจักรพรรดิ แบบติดตา ฟรี ! ค่าส่ง,฿350 - ฿500,general,64.0,4.8333,จังหวัดสุพรรณบุรี,https://cf.shopee.co.th/file/9b1e43e39bd783bb4bafd742abb9f1c8_tn,https://shopee.co.th//ต้นพันธุ์ส้มโอจักรพรรดิ-แบบติดตา-ฟรี-!-ค่าส่ง-i.43334861.5044111689
86,ส้มโอทับทิมสยาม ต้นพันธุ์เสียบยอดสูง 40-50 ซม.แข็งแรงพร้อมปลูก รับประกันพันธุ์แท้ 100%,฿146,general,13.0,5.0,จังหวัดพิษณุโลก,https://cf.shopee.co.th/file/915fe8a4b21d97d867f32277a2a7d9f4_tn,https://shopee.co.th//ส้มโอทับทิมสยาม-ต้นพันธุ์เสียบยอดสูง-40-50-ซม.แข็งแรงพร้อมปลูก-รับประกันพันธุ์แท้-100--i.228629530.3233750369
87,Butterfly Thai Perfume - ส้มโอ  ( Pomelo ),฿259,ร้านแนะนำ,155.0,4.8553,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/e82fcdce1e6f24b8c33e2b45a9acbb9b_tn,https://shopee.co.th//Butterfly-Thai-Perfume-ส้มโอ-(-Pomelo-)-i.243620979.7829950864
88,ต้นเข็มเศรษฐี ดอกสีส้มโอโรส ดอกดก กระถาง 6 นิ้ว,฿80,general,34.0,4.8947,จังหวัดนนทบุรี,https://cf.shopee.co.th/file/ea447834405db9df870eba4a84d78463_tn,https://shopee.co.th//ต้นเข็มเศรษฐี-ดอกสีส้มโอโรส-ดอกดก-กระถาง-6-นิ้ว-i.236919396.6843574779
89,BIOAQUA มาส์กบำรุงริมฝีปาก มาส์กผลไม้ บลูเบอร์รี่ มะนาว ส้มโอ ช่วยเติมความชุ่มชื้น ปากเรียบเนียน ปากอมชมพู ปากสวย มาร์ค,฿4,ร้านแนะนำ,567.0,5.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/b960acfac7aa0dcb31dfdc04c44c6897_tn,https://shopee.co.th//BIOAQUA-มาส์กบำรุงริมฝีปาก-มาส์กผลไม้-บลูเบอร์รี่-มะนาว-ส้มโอ-ช่วยเติมความชุ่มชื้น-ปากเรียบเนียน-ปากอมชมพู-ปากสวย-มาร์ค-i.266710946.9317194098
90,ส้มโอ ขาวแตงกวา ชัยนาท ของฝาก ลูกใหญ่ไซส์ XL,฿140,ร้านแนะนำ,29.0,4.8333,จังหวัดชัยนาท,https://cf.shopee.co.th/file/6a06350e380ab6fe24928029298098c5_tn,https://shopee.co.th//ส้มโอ-ขาวแตงกวา-ชัยนาท-ของฝาก-ลูกใหญ่ไซส์-XL-i.78844268.4538116212
91,[พร้อมส่ง] นมเปรี้ยว 真果粒 รสชาผสมส้มโอแดง,฿49,general,22.0,5.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/c3abfd3d4787630107c960d0d3ae6640_tn,https://shopee.co.th//-พร้อมส่ง-นมเปรี้ยว-真果粒-รสชาผสมส้มโอแดง-i.10387339.6581746973
92,Butterfly Thai Perfume - ส้มโอ ( Pomelo ),฿59,ร้านแนะนำ,239.0,4.7944,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/3d8b7b78e49a3eeb1e000ff36bec95d9_tn,https://shopee.co.th//Butterfly-Thai-Perfume-ส้มโอ-(-Pomelo-)-i.243620979.5556824187
